Query Recipe,Query Ingredients,Model,Rank,Recommended Recipe,Recommended Ingredients,predicted_relevance_tfidf,relevance_tfidf,Recommended Recipe W2V,Recommended Ingredients W2V,predicted_relevance_word2vec,relevance_word2vec
Южная лазанья,"грибы свежие, масло сливочное, приправа, молоко, мука, сыр янтарь, лук, морковь, сыр копченый, сыр твёрдый, фарш, томат-паста, соус томатный, масло растительное, соль...",TF-IDF,9,Филе под сыром с помидорами,Куриное филе 600 г Помидоры 4 штуки Твердый сыр 150 г Приправы по вкусу,0.4571343541574606,"0,50","Запеченная полента с грибами, помидорами и моцареллой",Вода Полента Соль Помидоры Чеснок Вяленые помидоры в масле Шампиньоны Сыр моцарелла Сыр пармезан Смесь перцев Розмарин Прованские травы Оливковое масло,0.6767337322235107,"0,50"
Южная лазанья,"грибы свежие, масло сливочное, приправа, молоко, мука, сыр янтарь, лук, морковь, сыр копченый, сыр твёрдый, фарш, томат-паста, соус томатный, масло растительное, соль...",TF-IDF,10,Картофельная запеканка с фаршем в беконе,Лук репчатый Картофель Мясной фарш Твердый сыр Бекон Пшеничная мука Томатная паста Специи Соль,0.44597704278120287,"0,50",Свинина по‑домашнему,Свинина Лук Морковь Майонез Сыр,0.6758202910423279,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,1,Картофель дофине запеченый,Картофель Соль Перец черный молотый Твердый сыр Молоко Яйцо куриное Чеснок Сливки Сливочное масло,0.5879716770258133,"0,50",Запеченый картофель под сыром сулугуни,Картофель Сметана Сыр сулугуни Чеснок Растительное масло Укроп Соль Перец черный молотый,0.7776604890823364,"1,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,2,Сырный хлеб,Зелень по вкусу Твердый сыр по вкусу Перец черный молотый по вкусу Сливочное масло 50 г Ржаной хлеб 1 штука,0.5525851162984762,"0,50",Картошка по селянски,Картофель Чеснок Укроп Перец черный молотый Соль Растительное масло,0.7759599685668945,"1,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,3,Картофельный гратен.,Картофель Молоко Вода Чеснок Сливочное масло Перец черный молотый Твердый сыр Соль Мускатный орех Сметана,0.5482595452520124,"0,50",Запеченная курица в сливочном соусе с овощами и картофелем,Картофель Куриная грудка Сладкий перец Помидоры Лук Чеснок Сыр Смесь итальянских трав Приправа для курицы Приправа для блюд из картофеля Мускатный орех Соль Перец черный молотый Оливковое масло Растительное масло Вода Сметана,0.7756506204605103,"1,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,4,Жареная картошка с зеленью,Картофель Соль Перец черный молотый Зелень Растительное масло,0.5332790001789491,"0,50","Семга, запеченная с картофелем, под сметанным соусом",Семга Картофель Лук Оливковое масло Сметана Яйцо куриное Чеснок Сыр Укроп Перец черный молотый Соль,0.7746769785881042,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,5,Курица по‑купечески,Куриное филе Чеснок Твердый сыр Майонез Сливочное масло Зелень,0.5331721047839242,"1,00",Жареная картошка с зеленью,Картофель Соль Перец черный молотый Зелень Растительное масло,0.7716857194900513,"0,50"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,6,Запеканка из тертого картофеля по‑французски,Картофель Чеснок Твердый сыр Сливки Сливочное масло,0.529054098082047,"0,50",Баклажаны в сыре,Баклажаны Сыр Растительное масло Соль Перец черный молотый Плавленый сыр Зелень сельдерея Петрушка Укроп Сметана Горчица Чеснок Лимон,0.7714468240737915,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,7,Кабачковые палочки в сырной панировке,Кабачки Яйцо куриное Твердый сыр Сушеная зелень Соль Перец черный молотый,0.5125740689197326,"0,00",Овощное рагу с мясом,Постное масло Свинина Лук Морковь Укроп Картофель Лавровый лист Соль Кетчуп Перец черный молотый,0.7709845304489136,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,8,Сырные шарики с картофелем,Картофель 8 штук Сливочное масло 150 г Пшеничная мука 1 стакан Яйцо куриное 4 штуки Перец черный молотый по вкусу Соль по вкусу Твердый сыр 200 г,0.4962056749738603,"0,50",Печеный картофель с чесноком и сухарями,Картофель Сливочное масло Чеснок Сухарики Соль Перец черный молотый,0.7708266377449036,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,9,Котлета «Гомельская»,Свежие грибы Твердый сыр Лук Зелень Морковь Соль Перец черный молотый Растительное масло Пшеничная мука Яйцо куриное Картофель Свиное филе,0.4958220726538801,"0,50",Печеный картофель с сырными шариками,Картофель Сливочное масло Сыр Измельченный укроп Чеснок Соль Майонез,0.7698816061019897,"0,00"
Чесночный суп с курицей и яичной паутинкой,"куриные бедра, картофель, чеснок, масло сливочное, масло растительное, перец чёрный молотый, соль, зира (кумин), яйца, сыр твёрдый, хлеб, зелень укропа, вода",TF-IDF,10,Курица в майонезном соусе,Соль Куриное филе Перец черный молотый Чеснок Майонез Растительное масло Вода Зелень,0.4880709970012038,"0,50",Картофельные драники со шпикачками,Картофель Шпикачки Сыр Яйцо куриное Чеснок Зелень Сметана Соль Перец черный молотый,0.7678697109222412,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,1,Эклеры с сырным кремом,Сливочное масло 25 г Пшеничная мука 75 г Соль по вкусу Яйцо куриное 2 штуки Сыр брынза 40 г Сметана 3 столовые ложки Перец черный молотый по вкусу Зелень 1 пучок,0.5707552162324416,"1,00",Печеный картофель с сырными шариками,Картофель Сливочное масло Сыр Измельченный укроп Чеснок Соль Майонез,0.7477372288703918,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,2,Шампиньоны с сулугуни,Свежие шампиньоны 500 г Сливочное масло 20 г Сыр сулугуни 200 г Перец черный молотый по вкусу Сушеная зелень 1 чайная ложка,0.5606356251557628,"1,00",Легкие кабачки с крабовыми палочками,Кабачки Творог Сметана Морковь Чеснок Укроп Сыр Соль Специи,0.7400968074798584,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,3,"Запеченный перец, фаршированный брынзой",Яйцо куриное Сладкий перец Зелень Сыр брынза Помидоры,0.5562252495383879,"0,50","Мясо, запеченное под шубой из кабачков",Кабачки Лук Чеснок Зелень Майонез Мясо Перец черный молотый Соль Помидоры Тертый сыр,0.7375543713569641,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,4,Ачма с сулугуни,Пшеничная мука Сыр сулугуни Сливочное масло Яйцо куриное Вода Соль,0.5436397650716447,"0,50",Баклажаны в сыре,Баклажаны Сыр Растительное масло Соль Перец черный молотый Плавленый сыр Зелень сельдерея Петрушка Укроп Сметана Горчица Чеснок Лимон,0.7337218523025513,"0,50"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,5,Хинкали с картошкой и сыром,Пшеничная мука Морская соль Вода Картофель Лук репчатый Соль Сыр сулугуни Перец черный молотый,0.5205703151586903,"1,00",Печеный картофель с творогом,Картофель Оливковое масло Морская соль Перец черный молотый Творог Сушеная зелень Сметана Укроп Зеленый лук перья Чеснок Соль,0.7333346605300903,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,6,Пицца с брынзой,Пшеничная мука 250 г Сливочное масло 125 г Соль по вкусу Вода 3 столовые ложки Яйцо куриное 1 штука Помидоры 750 г Лук репчатый 200 г Сыр брынза 300 г Зелень 1 пучок Растительное масло 2 столовые ложки Молотый душистый перец по вкусу,0.5143721364924175,"1,00",Фаршированный картофель c копченым мясом,Картофель Сыр Зелень Майонез Соль Копчености Помидоры Перец черный молотый,0.7329995632171631,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,7,Быстрое масло с травами,Зелень 70 г Сливочное масло 240 г,0.5110867859975436,"0,50",Лодочки из кабачков,Кабачки Фарш Помидоры Сыр Зелень Специи для салата Растительное масло,0.7319983243942261,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,8,Рулетики из куриного филе со шпинатом,Шпинат Куриная грудка Соль Перец черный молотый Зелень,0.5046790065313607,"0,00","Мясо картофелем, помидорами и сыром",Помидоры Куриное филе Лук Картофель Чеснок Сыр Зелень Соль Приправы Майонез,0.7304370403289795,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,9,"Куриные рулеты с сыром, запеченные с луком, зеленью и сливками",Сливки Куриное филе Зелень Лук Соль Перец черный молотый Сыр,0.5003262572243172,"0,00",Баклажаны с беконом и сыром,Баклажаны Бекон Помидоры Сметана Твердый сыр Майонез Зелень Чеснок Соль Перец черный молотый,0.7289595603942871,"0,00"
Кутабы с зеленью и сыром,"сыр, брынза, сыр сулугуни, лук зелёный, шпинат, зелень кинзы, зелень укропа, мята, листья салата, соль, перец чёрный молотый, мука пшеничная, соль, вода, масло сливочное",TF-IDF,10,Курица со шпинатом и брынзой,Куриное филе Замороженный шпинат Сыр брынза Соль Растительное масло Перец черный молотый,0.49459310433849346,"0,00",Тушеные баклажаны со сметаной и зеленью,Баклажаны Лук Чеснок Сметана Соль Зелень,0.7230757474899292,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,1,Салат со шпротами «Старая Рига»,Шпроты 160 г Консервированный зеленый горошек 200 г Огурцы 2 штуки Яйцо куриное 2 штуки Рис 2 стакана Майонез 150 г Измельченный укроп 1 столовая ложка,0.7648063890264247,"1,00",Гавайская смесь,Рис Консервированная кукуруза Зеленый горошек Соль Зелень Приправы Сладкий перец,0.8199207782745361,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,2,Салат с рисом и шпротами,Рис 100 г Зеленый салат 1 пучок Консервированный зеленый горошек ½ банки Шпроты 1 банка Перец черный молотый по вкусу,0.6961357095343137,"1,00",Жардиньер овощной,Картофель Морковь Лук Кабачки Красный сладкий перец Зеленый сладкий перец Зеленая стручковая фасоль (замороженная) Сметана 15%-ная Майонез Петрушка Укроп Прованские травы Соль,0.8094568252563477,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,3,Салат из шпрот,"Шпроты 1 банка Консервированный зеленый горошек 1,2 банки Яйцо куриное 2 штуки Петрушка по вкусу Укроп по вкусу Майонез 1 столовая ложка Соль по вкусу Перец черный молотый по вкусу Огурцы 1 штука ",0.61383890406646,"1,00",Имбирная фасоль,Помидоры Красная фасоль Морковь Зеленый лук Растительное масло Тертый имбирь Соль Зелень,0.8058091402053833,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,4,Шпротный салат с сыром,Шпроты 250 г Сыр 150 г Огурцы 200 г Лук репчатый 50 г Укроп 1 пучок Майонез по вкусу Соль по вкусу Яйцо куриное 3 штуки Консервированная кукуруза 100 г,0.5668164938035478,"1,00",Шаурма с индейкой и овощами,Фарш из индейки Белокочанная капуста Помидоры Сладкий красный лук Огурцы Соль Перец черный молотый Зеленый салат Чеснок Домашний майонез Армянский лаваш,0.8006536364555359,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,5,Салат с рыбой и сухариками,Соль по вкусу Майонез 3 столовые ложки Консервированный зеленый горошек 1 банка Лук репчатый 1 штука Морковь 1 штука Маринованные огурцы 2 штуки Яйцо куриное 3 штуки Шпроты 1 банка Белый хлеб ½ штуки,0.5562492151264551,"1,00",Салат из картофеля,Картофель Яйцо куриное Соленые огурцы Консервированный зеленый горошек Петрушка Майонез Зелень сельдерея,0.7973164319992065,"0,50"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,6,Шпротный паштет с сыром,Шпроты 1 банка Зеленый лук 1 пучок Плавленый сыр 100 г Майонез 2 столовые ложки,0.5509433310430683,"0,50",Омлет с рисом,Редька Красный сладкий перец Зеленый сладкий перец Морковь Лук Ветчина Очищенные креветки Рис Яйцо куриное Кетчуп,0.7936577796936035,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,7,Яйца под майонезом с горошком,Яйцо куриное 3 штуки Майонез по вкусу Консервированный зеленый горошек 200 г,0.5451989203495938,"0,50",Рис с омлетом и зеленью,Рис Яйцо куриное Соевый соус Вода Корень имбиря Зеленый перец чили Чеснок Цедра лайма Зеленый салат Зеленый лук Зеленый горошек Кунжут,0.7905257344245911,"0,50"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,8,"Рис с яйцом, горошком и соевым соусом",Рис Чеснок Лук репчатый Зеленый лук Консервированный зеленый горошек Соевый соус Растительное масло Соль Яйцо куриное,0.5376026404229741,"0,00",Фасоль с помидорами и болгарским перцем,Красная фасоль Красный сладкий перец Помидоры Лук Морковь Сметана Горчица Соль Перец черный молотый Приправа для овощей Чеснок Сливочное масло,0.7893713712692261,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,9,Слоеный оливье с рисом,Говядина 150 г Рис 100 г Сыр 100 г Консервированный зеленый горошек 100 г Лук репчатый 1 головка Яйцо куриное 4 штуки Соль по вкусу Майонез 200 г,0.5247340411828337,"1,00",Мититей на гратаре,Чеснок Говяжье филе Бульон Свежий перец Шпик Соль Сода Зеленый горошек Помидоры Соленые огурцы Зелень,0.7873873710632324,"0,00"
"Салат со шпротами, рисом, маринованными огурцами и зелёным горошком","шпроты консервированные, огурцы маринованные, горошек зелёный консервированный, яйца, рис, майонез, соль, перец чёрный молотый, лук зелёный",TF-IDF,10,Рис с зеленым горошком,Рис Консервированный зеленый горошек Соевый соус,0.520530274859198,"0,50",Быстрая окрошка с бужениной и редисом,Перепелиное яйцо Редис Огурцы Молодой красный картофель Буженина Соль Перец черный молотый Квас хлебный Зеленый лук перья Сметана 15%-ная Петрушка Укроп Тертый хрен,0.7870522141456604,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,1,Московский калач,Пшеничная мука 900 г Вода 540 мл Соль 15 г Свежие дрожжи 2 г,0.6639153930575556,"0,50","Картофель отварной, с маслом и зеленью",Картофель Сливочное масло Соль Зелень,0.42543572187423706,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,2,Китайские паровые булочки (Маньтоу),Пшеничная мука 500 г Вода 220 мл Соль 3 г Сухие дрожжи 6 г,0.6507462241504949,"0,50",Запеченая тыква-спагетти,Сливочное масло Тыква-спагетти Соль Специи,0.4211564064025879,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,3,Багеты,Пшеничная мука 500 г Вода 350 мл Соль по вкусу Свежие дрожжи 10 г,0.6453437282529599,"0,50","Хек, запеченный с помидорами и сыром",Хек Сливочное масло Сыр грюйер Кукурузное масло Помидоры Соль,0.40173548460006714,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,4,Слоеные булки,Вода 350 мл Пшеничная мука 500 г Соль по вкусу Свежие дрожжи 10 г,0.6453437282529599,"0,50",Янтыки с сыром,Пшеничная мука Вода Соль Водка Сыр Зелень Сливочное масло,0.3969728648662567,"0,50"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,5,Итальянский хлеб из дрожжевого теста,Пшеничная мука 625 г Вода 475 мл Соль по вкусу Сухие дрожжи 20 г,0.6332293191996724,"0,50","Картофель, запеченный в соусе из майонеза и итальянских трав",Картофель Майонез Смесь итальянских трав Российский сыр,0.3961569666862488,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,6,Армянский лаваш,Вода 1 стакан Пшеничная мука 500 г Соль по вкусу Сливочное масло 50 г Сухие дрожжи 8 г,0.6266314804840791,"0,50","Кабачки, запеченные с сыром",Кабачки Сметана Горчица Яйцо куриное Тертый сыр Укроп Соль Петрушка Специи,0.39568501710891724,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,7,Плюшки,Пшеничная мука 600 г Вода 330 мл Сахар 150 г Сухие дрожжи 8 г Сливочное масло 80 г,0.6002217988650215,"0,50",Печеный картофель с сырными шариками,Картофель Сливочное масло Сыр Измельченный укроп Чеснок Соль Майонез,0.39427506923675537,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,8,Лаваш армянский,Пшеничная мука 450 г Вода 200 мл Сухие дрожжи 15 г Растительное масло 1 столовая ложка Соль по вкусу,0.597215350172677,"0,50",Жаренный картофель с яйцом,Картофель Яйцо куриное Сливочное масло Соль Зелень,0.3929900527000427,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,9,Французский хлеб,Пшеничная мука 1 кг Вода 625 мл Соль 16 г Свежие дрожжи 40 г,0.5964562282430854,"0,50",Цыпленок табака со сметаной,Сметана Цыпленок Топленое масло Чеснок Аджика Соль Зелень,0.39176544547080994,"0,00"
Сосиски в тесте,"мука, вода, дрожжи, масло растительное, соль, сосиски, сыр, петрушка",TF-IDF,10,Классическая бриошь,Пшеничная мука 500 г Вода 140 мл Сливочное масло 100 г Свежие дрожжи 20 г Сахар 90 г Соль 5 г Яйцо куриное 3 штуки,0.5931787519852566,"0,00",Макаронные гнезда с фаршем в духовке,Фарш Макароны Сыр Сметана 20%-ная Лук Соль Чеснок Растительное масло Вода Специи,0.38842111825942993,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,1,Куриная печень с медовым луком,Куриная печень Красный лук Мед Белое сухое вино Оливковое масло Соль Перец черный молотый,0.585848184546153,"1,00",Мясо с овощами под сливочно-сырным соусом,Картофель Свинина Морковь Лук репчатый Красный лук Мелко рубленный чеснок Красный сладкий перец Помидоры Зелень Сметана Соевый соус Сыр брынза Горчица Пшеничная мука Маслины Соль Перец черный молотый Белое вино Сушеный майоран Оливковое масло Прованские травы,0.8223408460617065,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,2,Картофель фри в духовке,Картофель Растительное масло Соль Молотый красный перец,0.578031799155668,"0,00",Картошка по‑деревенски в духовке,Картофель Растительное масло Соль Перец черный молотый,0.8217079639434814,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,3,Куриная печень с шалфеем,Куриная печень Картофель Шалфей Чеснок Белое сухое вино Оливковое масло Соль Перец черный молотый,0.5496498549918314,"1,00",Грибы в сливочном соусе,Лук репчатый Сметана Спагетти Оливковое масло Соль Черный душистый перец Опята,0.821236789226532,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,4,Картошка по‑деревенски в духовке,Картофель Растительное масло Соль Перец черный молотый,0.5426013562731615,"0,00","Помидоры, фаршированные мясом",Мясо Помидоры Рис Лук репчатый Сыр Сметана Растительное масло Зелень Соль Перец черный молотый,0.8200330138206482,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,5,Картофельные зразы с печеночной начинкой,Говяжья печень Лук Морковь Растительное масло Картофель Сливочное масло Яйцо куриное Пшеничная мука Соль Перец черный молотый,0.5416719789701092,"1,00",Запеченый картофель под сыром сулугуни,Картофель Сметана Сыр сулугуни Чеснок Растительное масло Укроп Соль Перец черный молотый,0.8197112083435059,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,6,Картофельная запеканка с грибами и сыром,Свежие грибы Картофель Лук репчатый Твердый сыр Майонез Соль Растительное масло Перец черный молотый,0.5410742678567874,"0,00",Жареная картошка с зеленью,Картофель Соль Перец черный молотый Зелень Растительное масло,0.8193840980529785,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,7,Картофель дофине запеченый,Картофель Соль Перец черный молотый Твердый сыр Молоко Яйцо куриное Чеснок Сливки Сливочное масло,0.5310600370633803,"0,00","Красный картофель, запеченный в духовке с красным луком и красным винным уксусом",Картофель Оливковое масло Красный лук Красный винный уксус Соль Перец черный молотый,0.8184922337532043,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,8,Печень по‑венециански,Телячья печень Пшеничная мука Сыр Сливки 22%-ные Белое сухое вино Растительное масло Лук Перец черный молотый Соль,0.5210155909357954,"1,00",Стручковая фасоль в сметанно-винном соусе,Лук репчатый Стручковая фасоль Сметана Красное вино Оливковое масло Соль Перец черный молотый,0.8182949423789978,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,9,Обжаренные картофельные палочки с сыром,Картофель Яйцо куриное Панировочные сухари Твердый сыр Пшеничная мука Перец черный молотый Соль Растительное масло,0.5148644841416417,"0,00","Кальмары, тушенные в сметане",Кальмары Морковь Лук репчатый Чеснок Сметана Соль Растительное масло Перец черный молотый,0.8182041645050049,"0,00"
"Печень в ""шубе""","печень, вино красное сухое, картофель, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное",TF-IDF,10,Картошка с грибами и майонезом,Картофель Грибы Майонез Твердый сыр Растительное масло Соль Чеснок,0.5075094168492401,"0,00",Пестрая фасоль кидни со свининой,Фасоль Свиной фарш Помидоры Чеснок Красный лук Сельдерей Перец чили Морковь Сметана Белое сухое вино Соль Растительное масло Перец черный молотый,0.8172491788864136,"0,00"
Сало в рассоле «тузлук»,"сало, соль, вода, лавровый лист, чеснок, перец горошком",TF-IDF,1,Сало по‑домашнему,Свиное сало 3 кг Лавровый лист 3 штуки Черный перец горошком 6 штук Соль 500 г,0.736634602566183,"1,00",Карп в духовке,Карп Соль Приправы Лук репчатый Морковь Чеснок Лавровый лист Зелень,0.6405017375946045,"0,00"
Сало в рассоле «тузлук»,"сало, соль, вода, лавровый лист, чеснок, перец горошком",TF-IDF,2,Сало мокрого посола,"Сало 1,5 кг Чеснок 15 зубчиков Крупная соль 3 столовые ложки Лавровый лист 3 штуки Душистый перец горошком по вкусу Черный перец горошком по вкусу ",0.7043121652580693,"1,00",Медовый кролик,Сладкий перец Лук Чеснок Мед Сметана Соль Морковь Приправа «Вегетта» Кролик Лавровый лист,0.6117299795150757,"0,00"
Сало в рассоле «тузлук»,"сало, соль, вода, лавровый лист, чеснок, перец горошком",TF-IDF,3,Сало с лавровым листом,Сало 1 кг Крупная соль 100 г Чеснок 10 г Перец черный молотый 1 г Лавровый лист по вкусу,0.6873231074489066,"1,00",Курица на банке,Курица Чеснок Лук репчатый Картофель Соль Паприка Перец черный молотый Черный перец горошком Душистый перец горошком Лавровый лист,0.6037492156028748,"0,50"
Сало в рассоле «тузлук»,"сало, соль, вода, лавровый лист, чеснок, перец горошком",TF-IDF,4,Говядина в горшочке,Говядина Сало Говяжий бульон Лук репчатый Соль Черный перец горошком Лавровый лист,0.6833273499847101,"1,00",Тушёное мясо в томатном соусе,Говядина Томатная паста Вода Лук репчатый Соль Молотый душистый перец Лавровый лист Растительное масло,0.6026454567909241,"0,00"
